row_id,_source_file,month_start,year,month,booking_location,tankers_booked,tankers_delivered,delivery_gap,index,division,section,noofbookings,delivered
R193,tankers_reports_2024_3.csv,2024-03-01,2024,3,,50,50,0,192,2,MALAKPET,50,50
R194,tankers_reports_2024_3.csv,2024-03-01,2024,3,,163,163,0,193,2,MOOSARAMBAGH,163,163
R195,tankers_reports_2024_3.csv,2024-03-01,2024,3,,53,53,0,194,2,SAIDABAD,53,53
R196,tankers_reports_2024_3.csv,2024-03-01,2024,3,,11,11,0,195,2,SANTOSHNAGAR,11,11
R197,tankers_reports_2024_3.csv,2024-03-01,2024,3,,11,11,0,196,2,VINAY NAGAR (DIV 2 (a)),11,11
R198,tankers_reports_2024_3.csv,2024-03-01,2024,3,,33,33,0,197,3,AHMED NAGAR,33,33
R199,tankers_reports_2024_3.csv,2024-03-01,2024,3,,47,46,1,198,3,ASIF NAGAR,47,46
R200,tankers_reports_2024_3.csv,2024-03-01,2024,3,,218,218,0,199,3,CHINTAL BASTHI,218,218
R201,tankers_reports_2024_3.csv,2024-03-01,2024,3,,19,19,0,200,3,GOLCONDA,19,19
R202,tankers_reports_2024_3.csv,2024-03-01,2024,3,,139,139,0,201,3,HAKEEMPET,139,139
R203,tankers_reports_2024_3.csv,2024-03-01,2024,3,,275,275,0,202,3,KAKATIYA NAGAR,275,275
R204,tankers_reports_2024_3.csv,2024-03-01,2024,3,,33,33,0,203,3,KARWAN,33,33
R205,tankers_reports_2024_3.csv,2024-03-01,2024,3,,57,56,1,204,3,LANGER HOUSE,57,56
R206,tankers_reports_2024_3.csv,2024-03-01,2024,3,,267,266,1,205,3,MEHIDIPATNAM,267,266
R207,tankers_reports_2024_3.csv,2024-03-01,2024,3,,33,33,0,206,3,OLD MALLEPALLY,33,33
R208,tankers_reports_2024_3.csv,2024-03-01,2024,3,,1640,1629,11,207,3,SHAIKPET,1640,1629
R209,tankers_reports_2024_3.csv,2024-03-01,2024,3,,11,11,0,208,3,TAPPA CHABUTRA,11,11
R210,tankers_reports_2024_3.csv,2024-03-01,2024,3,,746,741,5,209,3,TOLI CHOWK,746,741
R211,tankers_reports_2024_3.csv,2024-03-01,2024,3,,616,607,9,210,3,VIJAYNAGAR COLONY,616,607
R212,tankers_reports_2024_3.csv,2024-03-01,2024,3,,5,5,0,211,4,ALLABANDA,5,5
R213,tankers_reports_2024_3.csv,2024-03-01,2024,3,,138,138,0,212,4,GODE-KI-KABAR,138,138
R214,tankers_reports_2024_3.csv,2024-03-01,2024,3,,71,71,0,213,4,GOWLIGUDA,71,71
R215,tankers_reports_2024_3.csv,2024-03-01,2024,3,,394,394,0,214,4,GUNFOUNDRY,394,394
R216,tankers_reports_2024_3.csv,2024-03-01,2024,3,,100,100,0,215,4,HINDI NAGAR,100,100
R217,tankers_reports_2024_3.csv,2024-03-01,2024,3,,451,451,0,216,4,RED HILLS HIGH LEVEL,451,451
R218,tankers_reports_2024_3.csv,2024-03-01,2024,3,,79,79,0,217,4,RED HILLS LOW LEVEL,79,79
