year,month,division,section,noofbookings,delivered,_source_file,date,month_iso
2024,12,14,SAIBABA NAGAR,66,66,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,14,UPPAL,47,47,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,15,Doyens section,781,781,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,15,GACHIBOWLI (DIV 15),1498,1498,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,15,KONDAPUR (DIV 15),8077,8077,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,15,MADHAPUR -1,3996,3996,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,15,MADHAPUR -2,5489,5489,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,15,NALLAGANDLA (DIV 15),17,17,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,16,ATTAPUR,141,141,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,16,BUDVEL (DIV16),146,146,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,16,HYDERGUDA,620,620,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,16,KATEDAN,7,7,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,16,MAILERDEV PALLY,33,33,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,16,SULEMAN NAGAR,87,87,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,17,CHANDA NAGAR,359,359,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,17,DEEPTHISRI NAGAR,343,343,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,17,HAFEEZPET,4654,4654,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,17,MIYAPUR,359,359,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,17,PATANCHERU,2,2,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,17,RAMACHANDRAPURAM,5,5,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,18,KISMATHPUR (DIV 18),1649,1649,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,18,MANIKONDA (DIV 18),4001,4001,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,19,BODUPPAL (DIV 19),81,81,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,19,PEDDA AMBERPET (PD 1),1,1,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,19,PEERJADIGUDA (DIV 19),191,191,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,19,POCHARAM (DIV 19),2,2,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,20,BADANGPET  (DIV 20),9,9,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,20,JILLELAGUDA (DIV 20),16,16,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,20,MEERPET (DIV 20),72,72,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,20,TURKAYAMJAL (PD 1),1,1,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,21,DAMMAIGUDA,1,1,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,21,JAWAHARNAGAR (PD 3),3,3,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,21,KOMPALLY (PD 7),2,2,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,21,NAGARAM,3,3,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,22,AMEENPUR (PD 8),32,32,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,22,BACHUPALLY (PD 7),282,282,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,22,BEERAMGUDA (PD 8),5,5,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,22,BOLLARAM (PD 8),1,1,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,22,GANDIMAISAMMA (PD 7),2,2,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,22,NIZAMPET (PD 7),2295,2295,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,22,PRAGATHINAGAR (PD 7),3248,3248,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,3,1,BAHADURPURA,7,7,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,1,CHANUDLAL BHARADARI,2,2,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,1,DARUL SHIFA,3,3,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,1,DHOOD BOWLI,3,3,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,1,KISHAN BAGH,8,8,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,1,M.R.G.FILTERS,3,3,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,1,MISRIGUNJ,1,1,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,1,MOGHULPURA,2,2,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,1,PATHERGATTI,2,2,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,1,VATTEPALLY,6,6,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,2,ASMANGARH,94,94,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,2,AZAMPURA,2,2,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,2,CHANCHALGUDA,44,44,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,2,MADANNAPET,2,2,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,2,MALAKPET,50,50,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,2,MOOSARAMBAGH,163,163,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,2,SAIDABAD,53,53,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,2,SANTOSHNAGAR,11,11,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,2,VINAY NAGAR (DIV 2 (a)),11,11,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,3,AHMED NAGAR,33,33,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,3,ASIF NAGAR,47,46,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,3,CHINTAL BASTHI,218,218,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,3,GOLCONDA,19,19,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,3,HAKEEMPET,139,139,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,3,KAKATIYA NAGAR,275,275,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,3,KARWAN,33,33,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,3,LANGER HOUSE,57,56,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,3,MEHIDIPATNAM,267,266,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,3,OLD MALLEPALLY,33,33,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,3,SHAIKPET,1640,1629,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,3,TAPPA CHABUTRA,11,11,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,3,TOLI CHOWK,746,741,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,3,VIJAYNAGAR COLONY,616,607,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,4,ALLABANDA,5,5,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,4,GODE-KI-KABAR,138,138,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,4,GOWLIGUDA,71,71,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,4,GUNFOUNDRY,394,394,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,4,HINDI NAGAR,100,100,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,4,RED HILLS HIGH LEVEL,451,451,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,4,RED HILLS LOW LEVEL,79,79,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,4,SULTAN BAZAR,95,95,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,4,ZIAGUDA,11,11,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,5,ADIKMET,87,86,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,5,AMBERPET,22,22,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,5,AZAMABAD,348,348,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,5,BAGH LINGAMPALLY,228,228,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,5,BARKATPURA,300,299,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,5,BOATS CLUB,76,76,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,5,DOMALGUDA,82,82,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,5,GANDHINAGAR,526,526,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,5,MUSHEERABAD,468,468,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,5,NARAYANGUDA,539,538,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,5,SHIVAM,187,185,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,5,VIGYANPURI,69,69,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,6,BANJARA HILLS,4055,4055,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,6,BORABANDA,372,365,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,6,ERRAGADDA,725,723,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,6,FATHENAGAR,1729,1718,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,6,FILM NAGAR,677,677,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,6,JUBILEE HILLS,5158,5158,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,6,S.P.R HILLS,260,259,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,6,S.R.NAGAR,5073,5006,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,6,SOMAJIGUDA,2112,2112,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,6,THATTIKHANA,1926,1926,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,6,VENGALRAONAGAR,2861,2817,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,6,YELLAREDDYGUDA,1785,1736,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,7,BOIGUDA,168,168,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,7,BOUDHANAGAR,83,83,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,7,HUSSAINSAGAR,49,49,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,7,LALAPET,25,25,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,7,MARREDPALLY,236,236,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,7,METTUGUDA,30,30,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,7,NALLAGUTTA,77,77,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,7,PRAKASHNAGAR,198,198,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,7,REGIMENTAL BAZAR,84,84,tankers_reports_2024_3.csv,2024-03-01,2024-03
2024,3,7,SEETHAPALMANDI,193,193,tankers_reports_2024_3.csv,2024-03-01,2024-03
